id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1240155724602314752,Wed Mar 18 05:59:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @relationshipsdw: Find someone who compliments you rather than completes you. Find out more at: https://t.co/MbmOFWALCK
#love #wisdom ht…",Find someone compliments rather completes Find ht…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,3,Melycastillo5,False,"love, wisdom",relationshipsdw,"Palm Beach Gardens, FL",
1240155711826526209,Wed Mar 18 05:58:57 +0000 2020,"<a href=""https://www.botlibre.com"" rel=""nofollow"">Bot Libre!</a>","RT @Shananon84: My son w/ Autism came home twice in the past 2 weeks sobbing b/c he lost Candyland at therapy. He’s almost nonverbal, but l…",My son w/ Autism came home twice past weeks sobbing b/c lost Candyland therapy He ’ almost nonverbal l…,"Sentiment(polarity=-0.25, subjectivity=0.25)",-0.25,0.25,en,0,1,grhluna24,,,Shananon84,,
1240155652628021248,Wed Mar 18 05:58:43 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Amazingstuffguy: Barber gives homeless man his 1st hair cut in years. The haircut made him look like a different person. Give someone a…,Barber gives homeless man st hair cut years The haircut made look like different person Give someone a…,"Sentiment(polarity=0.0, subjectivity=0.6)",0.0,0.6,en,0,9,Enny_110,,,Amazingstuffguy,"Lagos, Nigeria",
1240155604712382465,Wed Mar 18 05:58:31 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ChinaDaily: #OneMoment Mandarin duck is a symbol of #love in Chinese culture. Take a look at these lovely couples.💕💕💕 #mandarinduck htt…,Mandarin duck symbol Chinese culture Take look lovely couples htt…,"Sentiment(polarity=0.25, subjectivity=0.375)",0.25,0.375,en,0,29,jyotinegi_04,,"OneMoment, love, mandarinduck",ChinaDaily,Uttarakhand ,
1240155589528993792,Wed Mar 18 05:58:28 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Get together to share some cheesy Love while shopping for Discounts!

#Gettogether #love #shoppingforDiscounts… https://t.co/45ZHRtalID",Get together share cheesy Love shopping Discounts …,"Sentiment(polarity=0.0, subjectivity=0.8)",0.0,0.8,en,0,0,my_socially,False,"Gettogether, love, shoppingforDiscounts",,India,
1240155469290909696,Wed Mar 18 05:57:59 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @gvprakash: The stars we look upto reflect what’s within us .... 💫✨
 #love #sky #photography #style #india

Photography @PSoozana 
Styli…",The stars look upto reflect ’ within us ... Photography Styli…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1129,VvSudharshan,,"love, sky, photography, style, india","gvprakash, PSoozana","Muzhappilangad,kannur, India",
1240155454766006275,Wed Mar 18 05:57:56 +0000 2020,"<a href=""http://www.powerapps.com"" rel=""nofollow"">Microsoft Power Platform</a>","It's : 2020-03-18T05:57:55.6569141Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute… https://t.co/O839h3VXC5",It 's -03-18T05:57:55.6569141Z …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Kada_soulayman,,"tuesdaymotivation, funny, pets, followme, f4f, c4c, shout, love, me, cute",,Ả̷͓̥͕̤͆̇͘͝ŗ̴͍͉̳̲́̌̂͆̍̀̍̓͝k̵͝,
1240155414722994176,Wed Mar 18 05:57:46 +0000 2020,"<a href=""http://affiliate-branch.com"" rel=""nofollow"">Affiliate Branch Yourls 2</a>",RT @Ryanmonaghan16: Please keep retweeting were nearly there 💖💖💖🤞🏻🤞🏻 #Solidarity #Peace #Love #bekind #GoFundMe #funeral https://t.co/5BU6m…,Please keep retweeting nearly 🤞🤞,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,en,0,0,FindGoFundMe,,"Solidarity, Peace, Love, bekind, GoFundMe, funeral",Ryanmonaghan16,USA,
1240155392182824962,Wed Mar 18 05:57:41 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Please keep retweeting were nearly there 💖💖💖🤞🏻🤞🏻 #Solidarity #Peace #Love #bekind #GoFundMe #funeral https://t.co/5BU6mhhID6,Please keep retweeting nearly 🤞🤞,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,en,3,1,Ryanmonaghan16,False,"Solidarity, Peace, Love, bekind, GoFundMe, funeral",,United Kingdom,
1240155315192172546,Wed Mar 18 05:57:22 +0000 2020,"<a href=""https://socialrabbitplugin.com"" rel=""nofollow"">SocialRabbit Plugin</a>",Japanese Retro 3D Fox Ear Embroidery Hoodie Cartoon Anime Girls Kawaii Hooded Pullover Hoodies Sweatshirt Harajuku… https://t.co/h66qESYZEr,Japanese Retro D Fox Ear Embroidery Hoodie Cartoon Anime Girls Kawaii Hooded Pullover Hoodies Sweatshirt Harajuku…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,KawaiiSpot,False,,,,
1240155303385141248,Wed Mar 18 05:57:19 +0000 2020,"<a href=""https://example.com"" rel=""nofollow"">JGBBot</a>","""Not that which goeth into the mouth defileth a man; but that which cometh out of the mouth, this defileth a man.""… https://t.co/gtA6595Fqf",`` Not goeth mouth defileth man cometh mouth defileth man `` …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,2,1,SevenShepherd,,,,,
1240155284795994114,Wed Mar 18 05:57:15 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @alicia_budhram: Lets keep the #lovelight #kindness #gratitude #generosity  of #spirit #flowing our #love train moves and we aim is to i…,Lets keep train moves aim i…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,7,zvezdana_123,,"lovelight, kindness, gratitude, generosity, spirit, flowing, love",alicia_budhram,Sverige,
1240155228856553475,Wed Mar 18 05:57:02 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @bebyz7: Baby Girls' Colorful Leggings #love #baby #babylove #toddlers https://t.co/W2u8stCBAN,Baby Girls Colorful Leggings,"Sentiment(polarity=0.3, subjectivity=0.4)",0.3,0.4,en,0,6,LouiseM0oRE,False,"love, baby, babylove, toddlers",bebyz7,"Toronto, Canada",
1240155185068072964,Wed Mar 18 05:56:51 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @SevenShepherd: ""Let them alone: they be blind leaders of the blind. And if the blind lead the blind, both shall fall into the ditch."" ~…",`` Let alone blind leaders blind And blind lead blind shall fall ditch '' ~…,"Sentiment(polarity=-0.5, subjectivity=0.6666666666666666)",-0.5,0.6666666666666666,en,0,1,TrkischChristen,,,SevenShepherd,"Muğla, TR",
1240155162167128066,Wed Mar 18 05:56:46 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ONLYONEOF(#온리원오브) - BROADCAST PHOTOCARD

DM for more information

#KB #규빈 #YOOJUNG #유정 #LOVE #러브 #NINE #나인  #JUNJI… https://t.co/Y1dtix1ASm",BROADCAST PHOTOCARD DM information …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,3,0,wishing00star,True,"ONLYONEOF, 온리원오브, KB, 규빈, YOOJUNG, 유정, LOVE, 러브, NINE, 나인, JUNJI",,"Seoul, Republic of Korea",
1240155149072556033,Wed Mar 18 05:56:43 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @bebyz7: Baby Girls' Colorful Leggings #love #baby #babylove #toddlers https://t.co/W2u8stCBAN,Baby Girls Colorful Leggings,"Sentiment(polarity=0.3, subjectivity=0.4)",0.3,0.4,en,0,6,LindaWILS0N,False,"love, baby, babylove, toddlers",bebyz7,"Miami, Florida",
1240155125043408897,Wed Mar 18 05:56:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Come hang out as we play the beginning of VAMPYRE!!!🎮🙌💯🤓 
Appreciate all who show MAD LOVE!!! 

#twitch #stream… https://t.co/jx1VLX6K1r",Come hang play beginning VAMPYRE 🤓 Appreciate show MAD LOVE …,"Sentiment(polarity=-0.0625, subjectivity=0.8)",-0.0625,0.8,en,1,0,McGbaby_,False,"twitch, stream",,,
1240155119594897408,Wed Mar 18 05:56:36 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I been meditating 🧘🏻‍♀️ before I go to bed I just got a message 
“The world 🌍 is going to change as we know it...
I… https://t.co/5dCPHC758t",I meditating 🧘‍️ I go bed I got message “ The world going change know ... I…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Angeleyesv3,,,,"Pennsylvania, USA","[[-76.450865, 40.319883], [-76.391933, 40.319883], [-76.391933, 40.355786], [-76.450865, 40.355786]]"
1240155098090741760,Wed Mar 18 05:56:31 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @islaminind: #Justice and Fair dealing
#HolyProphet #Peace #Pluralism #Love #Brotherhood #HumanityFirst #Islam #India #Messiah #Ahmadiyy…",Fair dealing …,"Sentiment(polarity=0.7, subjectivity=0.9)",0.7,0.9,en,0,6,SulthanOnline,,"Justice, HolyProphet, Peace, Pluralism, Love, Brotherhood, HumanityFirst, Islam, India, Messiah",islaminind,"White Minaret, Qadian",
1240155089286901761,Wed Mar 18 05:56:28 +0000 2020,"<a href=""https://example.com"" rel=""nofollow"">JGBBot</a>","""Then came his disciples, and said unto him, Knowest thou that the Pharisees were offended, after they heard this s… https://t.co/AYaXqs7FMT",`` Then came disciples said unto Knowest thou Pharisees offended heard s…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,3,0,SevenShepherd,,,,,
1240155073138868228,Wed Mar 18 05:56:25 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @bebyz7: Baby Girls' Colorful Leggings #love #baby #babylove #toddlers https://t.co/W2u8stCBAN,Baby Girls Colorful Leggings,"Sentiment(polarity=0.3, subjectivity=0.4)",0.3,0.4,en,0,6,KarenMILL3R,False,"love, baby, babylove, toddlers",bebyz7,"Rochester, New York ",
